1,0,16
1,0,7
1,0,217
2,1,88
2,1,64
3,1,180
3,1,88
3,1,64
4,1,221
4,1,88
4,1,64
5,1,262
5,1,88
5,1,64
6,1,303
6,1,88
6,1,64
7,1,303
7,1,88
7,1,64
8,1,303
8,1,88
8,1,64
9,1,303
9,1,88
9,1,61
10,1,300
10,1,90
10,1,62
11,1,299
11,1,90
11,1,62
12,1,296
12,1,90
12,1,62
13,1,293
13,1,90
13,1,62
14,1,290
14,1,90
14,1,62
15,1,290
15,1,90
15,1,62
15,1,290
16,1,90
16,1,62
17,1,290
17,1,90
17,1,62
18,1,290
18,1,90
18,1,65
19,1,293
19,1,90
19,1,62
20,1,293
20,1,90
20,1,65
21,1,296
21,1,90
21,1,62
22,1,296
22,1,90
22,1,65
23,1,299
23,1,90
23,1,62
24,1,296
24,1,90
24,1,65
25,1,299
25,1,90
25,1,62
26,1,296
26,1,90
26,1,65
27,1,299
27,1,90
27,1,62
28,1,296
28,1,90
28,1,65
29,1,299
29,1,90
29,1,65
30,1,299
30,1,90
30,1,65
31,1,302
31,1,90
31,1,65
32,1,302
32,1,90
32,1,65
33,1,305
33,1,90
33,1,65
34,1,305
34,1,90
34,1,65
35,1,305
35,1,90
35,1,64
36,1,304
36,1,90
36,1,64
37,1,303
37,1,90
37,1,64
38,1,302
38,1,90
38,1,64
39,1,301
39,1,90
39,1,64
40,1,300
40,1,90
40,1,64
41,1,300
41,1,90
41,1,64
42,1,300
42,1,90
42,1,64
43,1,300
43,1,90
43,1,65
44,1,301
44,1,90
44,1,65
45,1,302
45,1,90
45,1,65
46,1,303
46,1,90
46,1,64
47,1,303
47,1,90
47,1,65
48,1,304
48,1,90
48,1,64
49,1,303
49,1,90
49,1,65
50,1,303
50,1,90
50,1,64
51,1,302
51,1,90
51,1,64
52,1,302
52,1,90
52,1,65
53,1,302
53,1,90
53,1,65
54,1,303
54,1,90
54,1,65
55,1,303
55,1,90
55,1,65
56,1,304
56,1,90
56,1,65
57,1,305
57,1,90
57,1,65
58,1,305
58,1,90
58,1,65
59,1,305
59,1,90
59,1,65
60,1,305
60,1,90
60,1,65
61,1,305
61,1,90
61,1,65
62,1,305
62,1,90
62,1,62
63,1,302
63,1,90
63,1,62
64,1,299
64,1,90
64,1,62
65,1,296
65,1,90
65,1,62
66,1,293
66,1,90
66,1,62
67,1,290
67,1,90
67,1,62
68,1,290
68,1,90
68,1,62
69,1,290
69,1,90
69,1,62
70,1,290
70,1,90
